month,n_grids,n_available,mean_chla_mg_m3,mean_valid_pixel_fraction,n_missing,availability_fraction
2005-11-01,148,138,0.2875866551077177,0.6582207207207208,10,0.9324324324324325
2005-12-01,148,146,0.3671971298517694,0.8453453453453453,2,0.9864864864864865
2006-01-01,148,146,0.3235922146450321,0.8228228228228228,2,0.9864864864864865
2006-02-01,148,148,0.45713829600416417,0.9806681681681682,0,1.0
2006-03-01,148,148,0.38351033333289286,0.9292417417417417,0,1.0
2006-04-01,148,148,0.2793250598144528,0.9784159159159158,0,1.0
2006-05-01,148,148,0.29261926827262474,0.984421921921922,0,1.0
2006-06-01,148,148,0.6500058391906449,0.977852852852853,0,1.0
2006-07-01,148,148,0.5392461745519345,0.9774774774774774,0,1.0
2006-08-01,148,148,1.1090302638877068,0.9756006006006006,0,1.0
2006-09-01,148,144,1.6555707454860407,0.9174174174174173,4,0.972972972972973
2006-10-01,148,148,1.7223660709871145,0.958521021021021,0,1.0
2006-11-01,148,147,1.7077951780889062,0.9331831831831832,1,0.9932432432432432
2006-12-01,148,143,0.9360909865967437,0.7693318318318318,5,0.9662162162162162
2007-01-01,148,148,0.30568472343235487,0.9665915915915915,0,1.0
2007-02-01,148,148,0.4424656541577763,0.940503003003003,0,1.0
2007-03-01,148,148,0.32274562089534753,0.887575075075075,0,1.0
2007-04-01,148,148,0.297659333854962,0.9750375375375374,0,1.0
2007-05-01,148,148,0.3254297296678068,0.9739114114114114,0,1.0
2007-06-01,148,148,0.41155426045795135,0.9847972972972973,0,1.0
2007-07-01,148,148,0.4981804273261099,0.9836711711711712,0,1.0
2007-08-01,148,148,0.7007317123892101,0.9632132132132132,0,1.0
2007-09-01,148,146,1.3423305191353347,0.8671171171171171,2,0.9864864864864865
2007-10-01,148,137,0.8383814565635214,0.7633258258258259,11,0.9256756756756757
2007-11-01,148,148,0.2776696072904451,0.9716591591591591,0,1.0
2007-12-01,148,136,0.3686736993941627,0.6467717717717718,12,0.918918918918919
2008-01-01,148,148,0.299614072875959,0.9791666666666666,0,1.0
2008-02-01,148,53,0.44430306796148106,0.13870120120120122,95,0.3581081081081081
2008-03-01,148,147,0.29292197823499333,0.8888888888888888,1,0.9932432432432432
2008-04-01,148,148,0.29649502887903645,0.9812312312312312,0,1.0
2008-05-01,148,148,0.3679553468840867,0.9810435435435436,0,1.0
2008-06-01,148,148,0.5628521327725245,0.9801051051051051,0,1.0
2008-07-01,148,148,0.9429897824023341,0.9829204204204205,0,1.0
2008-08-01,148,144,0.6974316236320972,0.8729354354354355,4,0.972972972972973
2008-09-01,148,147,0.5305820973714783,0.9136636636636637,1,0.9932432432432432
2008-10-01,148,126,0.37286852175353963,0.5521771771771771,22,0.8513513513513513
2008-11-01,148,101,0.3143380457836239,0.3489114114114114,47,0.6824324324324325
2008-12-01,148,146,0.26333564806464593,0.925487987987988,2,0.9864864864864865
2009-01-01,148,148,0.4133548988905055,0.9714714714714714,0,1.0
2009-02-01,148,146,0.3423030536049875,0.8213213213213213,2,0.9864864864864865
2009-03-01,148,148,0.32851487635910637,0.9802927927927929,0,1.0
2009-04-01,148,148,0.32769736887143014,0.9831081081081081,0,1.0
2009-05-01,148,148,0.29661982268395565,0.9836711711711712,0,1.0
2009-06-01,148,148,0.3302165875587777,0.984421921921922,0,1.0
2009-07-01,148,148,0.42500408111286464,0.9831081081081081,0,1.0
2009-08-01,148,148,0.4073041875065916,0.9752252252252253,0,1.0
2009-09-01,148,148,0.38574618354027157,0.8851351351351351,0,1.0
2009-10-01,148,144,0.26309696105987135,0.7993618618618619,4,0.972972972972973
2009-11-01,148,131,0.3546855836268831,0.6531531531531531,17,0.8851351351351351
2009-12-01,148,145,0.3666765135650251,0.8517267267267268,3,0.9797297297297297
2010-01-01,148,147,0.3487246245287275,0.930367867867868,1,0.9932432432432432
2010-02-01,148,148,0.4822956795441113,0.9705330330330331,0,1.0
2010-03-01,148,148,0.3633217986478413,0.9682807807807807,0,1.0
2010-04-01,148,148,0.26604588709916893,0.9840465465465466,0,1.0
2010-05-01,148,148,0.31570161930539226,0.9812312312312312,0,1.0
2010-06-01,148,148,0.37268573352618467,0.9496996996996996,0,1.0
2010-07-01,148,148,0.3500938033625524,0.9810435435435436,0,1.0
2010-08-01,148,148,0.33678705703736195,0.9776651651651652,0,1.0
2010-09-01,148,147,0.3108867459205389,0.9269894894894896,1,0.9932432432432432
2010-10-01,148,148,0.2739161227294014,0.9237987987987989,0,1.0
2010-11-01,148,79,0.21624562317196372,0.1950075075075075,69,0.5337837837837838
2010-12-01,148,130,0.26976767964952075,0.606418918918919,18,0.8783783783783784
2011-01-01,148,136,0.38252627859301225,0.662912912912913,12,0.918918918918919
2011-02-01,148,147,0.45973129951169883,0.9401276276276276,1,0.9932432432432432
2011-03-01,148,146,0.3342328206811633,0.9192942942942942,2,0.9864864864864865
2011-04-01,148,148,0.29830997776415663,0.9806681681681682,0,1.0
2011-05-01,148,148,0.3396352254182693,0.9823573573573573,0,1.0
2011-06-01,148,148,0.4070983352936812,0.9842342342342342,0,1.0
2011-07-01,148,148,0.41065029805891645,0.9797297297297297,0,1.0
2011-08-01,148,148,1.4189082198250524,0.9812312312312312,0,1.0
2011-09-01,148,148,2.247763976301787,0.9649024024024023,0,1.0
2011-10-01,148,146,0.9096939020057254,0.9157282282282282,2,0.9864864864864865
2011-11-01,148,148,0.3536909056372913,0.9564564564564564,0,1.0
2011-12-01,148,142,0.2674295322834984,0.7267267267267268,6,0.9594594594594594
2012-01-01,148,143,0.23445094058963606,0.8093093093093092,5,0.9662162162162162
2012-02-01,148,148,0.3733362478784223,0.9782282282282282,0,1.0
2012-03-01,148,148,0.25426728863262854,0.9761636636636637,0,1.0
2012-04-01,148,148,0.3017361496561535,0.984421921921922,0,1.0
2012-05-01,148,148,0.2983296091234437,0.9827327327327329,0,1.0
2012-06-01,148,148,0.35448486771955684,0.984421921921922,0,1.0
2012-07-01,148,148,0.49425057327471106,0.9806681681681682,0,1.0
2012-08-01,148,148,0.8073945699862751,0.9656531531531531,0,1.0
2012-09-01,148,147,0.9225544864073398,0.8932057057057058,1,0.9932432432432432
2012-10-01,148,116,0.5235203019186482,0.48629879879879884,32,0.7837837837837838
2012-11-01,148,130,0.28347290579786155,0.6306306306306306,18,0.8783783783783784
2012-12-01,148,146,0.2624228079131749,0.8483483483483484,2,0.9864864864864865
2013-01-01,148,148,0.3321155805933353,0.9564564564564564,0,1.0
2013-02-01,148,148,0.39315827487044197,0.8823198198198199,0,1.0
2013-03-01,148,148,0.3693853963417384,0.981981981981982,0,1.0
2013-04-01,148,148,0.29729222269937317,0.9635885885885886,0,1.0
2013-05-01,148,148,0.3235167745024351,0.9810435435435436,0,1.0
2013-06-01,148,148,0.28663824150485273,0.981981981981982,0,1.0
2013-07-01,148,148,0.40417356896436574,0.9750375375375374,0,1.0
2013-08-01,148,148,0.340154434052971,0.9802927927927929,0,1.0
2013-09-01,148,148,0.4383685636009439,0.9423798798798799,0,1.0
2013-10-01,148,148,0.33054945220290183,0.9637762762762763,0,1.0
2013-11-01,148,144,0.2836495629789468,0.8691816816816816,4,0.972972972972973
2013-12-01,148,147,0.3326950318873071,0.9420045045045045,1,0.9932432432432432
2014-01-01,148,147,0.4069599975454346,0.9502627627627628,1,0.9932432432432432
2014-02-01,148,141,0.40634501182845784,0.7912912912912913,7,0.9527027027027027
2014-03-01,148,148,0.3797520968926222,0.9329954954954955,0,1.0
2014-04-01,148,148,0.299861949912442,0.9838588588588589,0,1.0
2014-05-01,148,148,0.3070563097392408,0.9782282282282282,0,1.0
2014-06-01,148,148,0.33158518905518175,0.981418918918919,0,1.0
2014-07-01,148,148,0.34575246441346874,0.9842342342342342,0,1.0
2014-08-01,148,148,0.3665117495066603,0.9772897897897898,0,1.0
2014-09-01,148,148,0.39790652070730753,0.9667792792792793,0,1.0
2014-10-01,148,130,0.4644843862577578,0.6308183183183184,18,0.8783783783783784
2014-11-01,148,135,0.2560325581907124,0.7246621621621622,13,0.9121621621621622
2014-12-01,148,145,0.2726291188036192,0.868993993993994,3,0.9797297297297297
2015-01-01,148,148,0.37952761861210565,0.9547672672672671,0,1.0
2015-02-01,148,148,0.5103242103171071,0.9816066066066066,0,1.0
2015-03-01,148,148,0.31443643007723676,0.9812312312312312,0,1.0
2015-04-01,148,148,0.33536287470183385,0.9733483483483483,0,1.0
2015-05-01,148,148,0.3096767095124924,0.9791666666666666,0,1.0
2015-06-01,148,148,0.365064172086603,0.9847972972972973,0,1.0
2015-07-01,148,148,0.49300159721662085,0.9829204204204205,0,1.0
2015-08-01,148,148,0.5618351518382246,0.9761636636636637,0,1.0
2015-09-01,148,147,1.0713953171383261,0.9421921921921923,1,0.9932432432432432
2015-10-01,148,86,0.701286301120027,0.35060060060060055,62,0.581081081081081
2015-11-01,148,143,0.41644982005852954,0.8177552552552552,5,0.9662162162162162
2015-12-01,148,148,0.28766822934558645,0.9543918918918919,0,1.0
2016-01-01,148,148,0.3297780410780978,0.9808558558558558,0,1.0
2016-02-01,148,148,0.3032351901766388,0.9767267267267267,0,1.0
2016-03-01,148,148,0.3484348285404097,0.9782282282282282,0,1.0
2016-04-01,148,148,0.3497761873738395,0.978978978978979,0,1.0
2016-05-01,148,148,0.30023758540976586,0.9823573573573573,0,1.0
2016-06-01,148,148,0.3093635484305416,0.981981981981982,0,1.0
2016-07-01,148,148,0.2984551739217524,0.9806681681681682,0,1.0
2016-08-01,148,148,0.3013711935211633,0.9832957957957957,0,1.0
2016-09-01,148,148,0.2616451904001887,0.9373123123123124,0,1.0
2016-10-01,148,102,0.24866911852531656,0.36486486486486486,46,0.6891891891891891
2016-11-01,148,145,0.30966022036963003,0.759009009009009,3,0.9797297297297297
2016-12-01,148,141,0.2545266733398909,0.5970345345345346,7,0.9527027027027027
2017-01-01,148,145,0.3323297387920751,0.8464714714714714,3,0.9797297297297297
2017-02-01,148,147,0.4436385177089236,0.9421921921921923,1,0.9932432432432432
2017-03-01,148,148,0.3753239404397076,0.9680930930930931,0,1.0
2017-04-01,148,148,0.3298413040610682,0.9750375375375374,0,1.0
2017-05-01,148,148,0.377665934844085,0.9662162162162162,0,1.0
2017-06-01,148,148,0.382653426031816,0.9838588588588589,0,1.0
2017-07-01,148,148,0.4519877601288407,0.9757882882882882,0,1.0
2017-08-01,148,148,0.7316019719515456,0.9570195195195195,0,1.0
2017-09-01,148,148,0.418294660376887,0.9209834834834834,0,1.0
2017-10-01,148,147,0.3220624853607192,0.7942942942942943,1,0.9932432432432432
2017-11-01,148,138,0.26928135337873454,0.8400900900900901,10,0.9324324324324325
2017-12-01,148,134,0.2881292494011326,0.6535285285285286,14,0.9054054054054054
2018-01-01,148,102,0.33060556206183783,0.375,46,0.6891891891891891
2018-02-01,148,147,0.3532830727544409,0.93993993993994,1,0.9932432432432432
2018-03-01,148,148,0.43519214932278194,0.9847972972972973,0,1.0
2018-04-01,148,148,0.3583966790816834,0.9801051051051051,0,1.0
2018-05-01,148,148,0.35372865753385585,0.9752252252252253,0,1.0
2018-06-01,148,148,0.3719777281492124,0.9707207207207207,0,1.0
2018-07-01,148,148,0.6001495990268143,0.9808558558558558,0,1.0
2018-08-01,148,148,0.5525370821128066,0.9797297297297297,0,1.0
2018-09-01,148,148,0.9178988184027638,0.9660285285285286,0,1.0
2018-10-01,148,107,0.41698085959782233,0.36768018018018017,41,0.722972972972973
2018-11-01,148,144,0.2344694295898493,0.8350225225225225,4,0.972972972972973
2018-12-01,148,139,0.25139458930460723,0.7743993993993994,9,0.9391891891891891
2019-01-01,148,148,0.2776827255651332,0.9566441441441442,0,1.0
2019-02-01,148,147,0.46470159302638575,0.9605855855855855,1,0.9932432432432432
2019-03-01,148,148,0.27917156528040926,0.9361861861861861,0,1.0
2019-04-01,148,148,0.3055094440467671,0.9797297297297297,0,1.0
2019-05-01,148,148,0.3681814353990527,0.9829204204204205,0,1.0
2019-06-01,148,148,0.7118392613443019,0.9801051051051051,0,1.0
2019-07-01,148,148,0.7400796953338734,0.9776651651651652,0,1.0
2019-08-01,148,148,1.3438916994355374,0.9793543543543545,0,1.0
2019-09-01,148,148,1.748432742705453,0.9615240240240239,0,1.0
2019-10-01,148,144,1.6265909375382233,0.8532282282282282,4,0.972972972972973
2019-11-01,148,148,1.8970892999931346,0.9802927927927929,0,1.0
2019-12-01,148,148,0.9498679401512528,0.9348723723723724,0,1.0
2020-01-01,148,148,0.5032301265797468,0.9697822822822822,0,1.0
2020-02-01,148,143,0.3388859878916357,0.8800675675675675,5,0.9662162162162162
2020-03-01,148,147,0.36798554234586145,0.9414414414414415,1,0.9932432432432432
2020-04-01,148,148,0.3786199037318706,0.9829204204204205,0,1.0
2020-05-01,148,148,0.39981989186157696,0.9774774774774774,0,1.0
2020-06-01,148,148,0.36976961667770186,0.9816066066066066,0,1.0
2020-07-01,148,148,0.5145258773772248,0.962087087087087,0,1.0
2020-08-01,148,148,0.3934750856907147,0.9692192192192193,0,1.0
2020-09-01,148,145,0.4674328372096002,0.8997747747747747,3,0.9797297297297297
2020-10-01,148,129,0.3298420423881987,0.5868993993993994,19,0.8716216216216216
2020-11-01,148,131,0.23177754427569242,0.7010135135135135,17,0.8851351351351351
2020-12-01,148,142,0.27951277033671,0.7027027027027027,6,0.9594594594594594
2021-01-01,148,104,0.23125768675963537,0.3530405405405405,44,0.7027027027027027
2021-02-01,148,147,0.3666560341624396,0.9037162162162162,1,0.9932432432432432
2021-03-01,148,148,0.3065105659192636,0.9810435435435436,0,1.0
2021-04-01,148,148,0.25138449797369766,0.978978978978979,0,1.0
2021-05-01,148,148,0.3353507397429547,0.9649024024024023,0,1.0
2021-06-01,148,148,0.337116235387583,0.9817942942942942,0,1.0
2021-07-01,148,148,0.37747131250747457,0.9840465465465466,0,1.0
2021-08-01,148,148,0.3888989715283104,0.9391891891891891,0,1.0
2021-09-01,148,148,0.43924926164985906,0.9615240240240239,0,1.0
2021-10-01,148,141,0.2895845504072014,0.7644519519519519,7,0.9527027027027027
2021-11-01,148,133,0.2619301228636727,0.49624624624624625,15,0.8986486486486487
2021-12-01,148,143,0.28507308031737033,0.8085585585585586,5,0.9662162162162162
2022-01-01,148,147,0.27773840986820547,0.9326201201201201,1,0.9932432432432432
2022-02-01,148,146,0.4575307443324166,0.8800675675675675,2,0.9864864864864865
2022-03-01,148,146,0.2843145262715398,0.9269894894894896,2,0.9864864864864865
2022-04-01,148,145,0.2893574008588552,0.8537912912912913,3,0.9797297297297297
2022-05-01,148,148,0.3047625868744465,0.9810435435435436,0,1.0
2022-06-01,148,148,0.38377462344457836,0.9705330330330331,0,1.0
2022-07-01,148,148,0.4222148640636901,0.9739114114114114,0,1.0
2022-08-01,148,148,0.36020086301751436,0.9307432432432432,0,1.0
2022-09-01,148,141,0.3389594114132172,0.7447447447447448,7,0.9527027027027027
2022-10-01,148,134,0.29244548688230587,0.6888138138138138,14,0.9054054054054054
2022-11-01,148,145,0.24156625923335381,0.7490615615615616,3,0.9797297297297297
2022-12-01,148,96,0.31178883410759434,0.28209459459459457,52,0.6486486486486487
2023-01-01,148,144,0.2845891329674165,0.803490990990991,4,0.972972972972973
2023-02-01,148,141,0.3226814181930874,0.7877252252252251,7,0.9527027027027027
2023-03-01,148,148,0.4905345981450304,0.9757882882882882,0,1.0
2023-04-01,148,148,0.2970617588459805,0.9797297297297297,0,1.0
2023-05-01,148,148,0.3172749305986152,0.9769144144144145,0,1.0
2023-06-01,148,148,0.3710153693433762,0.9797297297297297,0,1.0
2023-07-01,148,148,0.5274890085875128,0.9660285285285286,0,1.0
2023-08-01,148,148,1.0313450213887527,0.9776651651651652,0,1.0
2023-09-01,148,148,2.3518815664166914,0.9793543543543545,0,1.0
2023-10-01,148,140,2.8934786524139864,0.8186936936936937,8,0.9459459459459459
2023-11-01,148,143,2.4671049610419646,0.8209459459459459,5,0.9662162162162162
2023-12-01,148,148,1.809366478351631,0.9649024024024023,0,1.0
2024-01-01,148,144,0.4827732493265375,0.8999624624624626,4,0.972972972972973
2024-02-01,148,148,0.39761172815861023,0.9461336336336336,0,1.0
2024-03-01,148,148,0.41565991539652425,0.959647147147147,0,1.0
2024-04-01,148,147,0.46887221539803725,0.9466966966966968,1,0.9932432432432432
2024-05-01,148,148,0.5218095977615622,0.9677177177177178,0,1.0
2024-06-01,148,148,0.4113293709047813,0.9566441441441442,0,1.0
2024-07-01,148,148,0.5270120819184528,0.9806681681681682,0,1.0
2024-08-01,148,146,1.160966120867492,0.9256756756756757,2,0.9864864864864865
2024-09-01,148,148,0.6690620517722761,0.9757882882882882,0,1.0
2024-10-01,148,148,0.2706125828291826,0.9298048048048049,0,1.0
2024-11-01,148,132,0.23312408576702498,0.6454579579579579,16,0.8918918918918919
2024-12-01,148,103,0.18780477759944517,0.3530405405405405,45,0.6959459459459459
2025-01-01,148,148,0.3539342620897942,0.9384384384384384,0,1.0
2025-02-01,148,142,0.4005182893446243,0.7668918918918919,6,0.9594594594594594
2025-03-01,148,148,0.4112676070646221,0.949512012012012,0,1.0
2025-04-01,148,148,0.3924293492616584,0.9836711711711712,0,1.0
2025-05-01,148,148,0.3530801523304451,0.9842342342342342,0,1.0
2025-06-01,148,148,0.3161709912693984,0.9761636636636637,0,1.0
2025-07-01,148,148,0.46994044747090047,0.9718468468468469,0,1.0
2025-08-01,148,148,0.3799094338499521,0.9650900900900902,0,1.0
2025-09-01,148,140,0.3814139133295893,0.7017642642642643,8,0.9459459459459459
2025-10-01,148,148,0.334889614421491,0.9046546546546547,0,1.0
2025-11-01,148,140,0.2566484561631217,0.734984984984985,8,0.9459459459459459
2025-12-01,148,144,0.26447883999439536,0.8581081081081081,4,0.972972972972973
