grid_id,lon,lat,n_months,n_available,mean_chla_mg_m3,median_chla_mg_m3,mean_valid_pixel_fraction,n_missing,availability_fraction,review_flag
G025_R381_C1145,106.375,-5.375,276,272,0.7003641960797781,0.5781847172580883,0.9053945249597424,4,0.9855072463768116,keep
G025_R381_C1146,106.625,-5.375,276,273,0.6671767645878669,0.5555493052520205,0.8914049919484702,3,0.9891304347826086,keep
G025_R381_C1147,106.875,-5.375,276,269,0.6249042195583717,0.5384819705195173,0.8890901771336553,7,0.9746376811594203,keep
G025_R382_C1132,103.125,-5.625,276,273,0.23405048083089441,0.1228991557793427,0.9440418679549114,3,0.9891304347826086,keep
G025_R382_C1133,103.375,-5.625,276,272,0.26631997285746695,0.132643595503178,0.9419283413848631,4,0.9855072463768116,keep
G025_R382_C1134,103.625,-5.625,276,271,0.32118847753617463,0.1387862682855206,0.9344806763285025,5,0.9818840579710145,keep
G025_R382_C1135,103.875,-5.625,276,268,0.40393614697397207,0.1584296660039194,0.9364935587761675,8,0.9710144927536232,keep
G025_R382_C1136,104.125,-5.625,276,265,0.6705582156379648,0.3100426978825691,0.8990539452495974,11,0.9601449275362319,keep
G025_R382_C1138,104.625,-5.625,276,241,0.658611452473793,0.5830981050408415,0.5178140096618357,35,0.8731884057971014,keep
G025_R382_C1141,105.375,-5.625,276,245,0.7623559608127645,0.654231265780226,0.5994363929146538,31,0.8876811594202898,keep
G025_R382_C1143,105.875,-5.625,276,260,1.2452062473095682,1.2355586581980034,0.6663647342995169,16,0.9420289855072463,keep
G025_R382_C1144,106.125,-5.625,276,268,0.6217490326786194,0.5529433342040844,0.9145531400966184,8,0.9710144927536232,keep
G025_R382_C1145,106.375,-5.625,276,268,0.583917034346427,0.5272069273613142,0.9147544283413849,8,0.9710144927536232,keep
G025_R382_C1146,106.625,-5.625,276,270,0.6072975331812764,0.561338422456621,0.9131441223832528,6,0.9782608695652174,keep
G025_R382_C1147,106.875,-5.625,276,268,0.4743893106303317,0.4437569994893026,0.920390499194847,8,0.9710144927536232,keep
G025_R383_C1132,103.125,-5.875,276,269,0.20456628321113385,0.1225516483726324,0.907608695652174,7,0.9746376811594203,keep
G025_R383_C1133,103.375,-5.875,276,267,0.2401391081059481,0.1279342046261995,0.9180756843800322,9,0.967391304347826,keep
G025_R383_C1134,103.625,-5.875,276,270,0.3103812490035478,0.1323868321472649,0.9268317230273752,6,0.9782608695652174,keep
G025_R383_C1135,103.875,-5.875,276,269,0.4139469809238307,0.1443062207239054,0.9206924315619968,7,0.9746376811594203,keep
G025_R383_C1136,104.125,-5.875,276,266,0.5009323330757576,0.16954906346710705,0.9272342995169082,10,0.9637681159420289,keep
G025_R383_C1137,104.375,-5.875,276,266,0.7054144188505937,0.31067299481028965,0.8969404186795491,10,0.9637681159420289,keep
G025_R383_C1139,104.875,-5.875,276,269,0.40083952424094016,0.288354282661921,0.9060990338164252,7,0.9746376811594203,keep
G025_R383_C1140,105.125,-5.875,276,271,0.5392301118757525,0.3890150169660359,0.8893921095008052,5,0.9818840579710145,keep
G025_R383_C1141,105.375,-5.875,276,264,0.6716235012289686,0.5714331049191658,0.8799315619967794,12,0.9565217391304348,keep
G025_R383_C1142,105.625,-5.875,276,258,0.7766458392383911,0.6940390485541023,0.6649557165861514,18,0.9347826086956522,keep
G025_R383_C1143,105.875,-5.875,276,261,0.8254930289532555,0.7850063930532566,0.8266908212560387,15,0.9456521739130435,keep
G025_R383_C1144,106.125,-5.875,276,266,1.3335120408585073,1.3320465224833757,0.7484903381642513,10,0.9637681159420289,keep
G025_R383_C1145,106.375,-5.875,276,269,1.705932116641163,1.7019062977317123,0.9002616747181965,7,0.9746376811594203,keep
G025_R383_C1146,106.625,-5.875,276,270,1.6720069242648004,1.5940423853413996,0.9064009661835748,6,0.9782608695652174,keep
G025_R383_C1147,106.875,-5.875,276,267,1.921342267893961,1.6072196811850332,0.8999597423510467,9,0.967391304347826,keep
G025_R384_C1132,103.125,-6.125,276,268,0.2122448901318666,0.12301829977729384,0.9001610305958132,8,0.9710144927536232,keep
G025_R384_C1133,103.375,-6.125,276,267,0.2545761277278273,0.1289158748773957,0.9041867954911432,9,0.967391304347826,keep
G025_R384_C1134,103.625,-6.125,276,265,0.342492851911107,0.1329683519691002,0.9104267310789049,11,0.9601449275362319,keep
G025_R384_C1135,103.875,-6.125,276,268,0.4494378764043224,0.13759705601721683,0.9195853462157809,8,0.9710144927536232,keep
G025_R384_C1136,104.125,-6.125,276,268,0.5013843623120824,0.15470937159712417,0.919182769726248,8,0.9710144927536232,keep
G025_R384_C1137,104.375,-6.125,276,269,0.48768430815708347,0.1966032148194774,0.9202898550724637,7,0.9746376811594203,keep
G025_R384_C1138,104.625,-6.125,276,271,0.4873113413578278,0.282595113442427,0.9467592592592592,5,0.9818840579710145,keep
G025_R384_C1139,104.875,-6.125,276,274,0.45786219176223525,0.2732395612396773,0.9564210950080515,2,0.9927536231884058,keep
G025_R384_C1140,105.125,-6.125,276,272,0.5031347307603775,0.346615786467908,0.9447463768115942,4,0.9855072463768116,keep
G025_R384_C1141,105.375,-6.125,276,271,0.6041105370965578,0.5434815413076829,0.9225040257648953,5,0.9818840579710145,keep
G025_R384_C1142,105.625,-6.125,276,263,0.6070605111887076,0.5914414818544201,0.8800322061191627,13,0.9528985507246377,keep
G025_R385_C1132,103.125,-6.375,276,268,0.23550729690248404,0.11667701908759075,0.9051932367149759,8,0.9710144927536232,keep
G025_R385_C1133,103.375,-6.375,276,268,0.29487729844299315,0.12427513746411095,0.9099235104669887,8,0.9710144927536232,keep
G025_R385_C1134,103.625,-6.375,276,267,0.3810895771873035,0.1301910411110557,0.9096215780998389,9,0.967391304347826,keep
G025_R385_C1135,103.875,-6.375,276,265,0.4617579407372044,0.1366563312249965,0.9129428341384863,11,0.9601449275362319,keep
G025_R385_C1136,104.125,-6.375,276,268,0.49982420863295524,0.1475413236851024,0.9118357487922705,8,0.9710144927536232,keep
G025_R385_C1137,104.375,-6.375,276,269,0.48574441189115697,0.1782078348819305,0.9120370370370371,7,0.9746376811594203,keep
G025_R385_C1138,104.625,-6.375,276,270,0.4414712886382515,0.2189160004807448,0.9228059581320451,6,0.9782608695652174,keep
G025_R385_C1139,104.875,-6.375,276,274,0.4348834188942559,0.28935335911939086,0.9487721417069243,2,0.9927536231884058,keep
G025_R385_C1140,105.125,-6.375,276,272,0.46791311396964325,0.39928196355504864,0.9459541062801932,4,0.9855072463768116,keep
G025_R385_C1141,105.375,-6.375,276,271,0.5028015288262697,0.4803832274740032,0.9335748792270532,5,0.9818840579710145,keep
G025_R385_C1142,105.625,-6.375,276,262,0.7300565071039715,0.6899501507517578,0.845108695652174,14,0.9492753623188406,keep
G025_R386_C1132,103.125,-6.625,276,265,0.23856734578404745,0.1138378576717449,0.8934178743961353,11,0.9601449275362319,keep
G025_R386_C1133,103.375,-6.625,276,265,0.29532824343910485,0.119651720298922,0.9083132045088568,11,0.9601449275362319,keep
G025_R386_C1134,103.625,-6.625,276,267,0.34885528160388757,0.1297489993975552,0.9146537842190017,9,0.967391304347826,keep
G025_R386_C1135,103.875,-6.625,276,269,0.40581971247197596,0.1357581664360897,0.9075080515297906,7,0.9746376811594203,keep
G025_R386_C1136,104.125,-6.625,276,269,0.41222852644430696,0.1529068607782122,0.9072061191626409,7,0.9746376811594203,keep
G025_R386_C1137,104.375,-6.625,276,269,0.4247471051259681,0.1750034689903259,0.9027777777777778,7,0.9746376811594203,keep
G025_R386_C1138,104.625,-6.625,276,267,0.4048400179886603,0.2235368145519321,0.8879830917874396,9,0.967391304347826,keep
G025_R386_C1139,104.875,-6.625,276,271,0.43380963486669527,0.3389350515951695,0.9307568438003222,5,0.9818840579710145,keep
G025_R386_C1141,105.375,-6.625,276,267,0.5214474411101937,0.4639404274937493,0.8457125603864734,9,0.967391304347826,keep
G025_R387_C1132,103.125,-6.875,276,266,0.23626705487961747,0.11008574109993316,0.8977455716586151,10,0.9637681159420289,keep
G025_R387_C1133,103.375,-6.875,276,267,0.26696861689495627,0.1205119211030269,0.9139492753623188,9,0.967391304347826,keep
G025_R387_C1134,103.625,-6.875,276,271,0.2932621576064041,0.1267364135616509,0.9131441223832528,5,0.9818840579710145,keep
G025_R387_C1135,103.875,-6.875,276,270,0.306143259571255,0.13779565043504,0.917572463768116,6,0.9782608695652174,keep
G025_R387_C1136,104.125,-6.875,276,270,0.3662556496832122,0.15398141424369355,0.8985507246376812,6,0.9782608695652174,keep
G025_R387_C1137,104.375,-6.875,276,265,0.34978951444173273,0.1778184925222501,0.8877818035426731,11,0.9601449275362319,keep
G025_R387_C1138,104.625,-6.875,276,269,0.4015367134593697,0.2175661991289443,0.9005636070853462,7,0.9746376811594203,keep
G025_R387_C1139,104.875,-6.875,276,273,0.4189526409079225,0.2771148304363147,0.917169887278583,3,0.9891304347826086,keep
G025_R387_C1140,105.125,-6.875,276,269,0.4341352300711462,0.3344016712492914,0.8948268921095008,7,0.9746376811594203,keep
G025_R387_C1141,105.375,-6.875,276,262,0.7111788197691603,0.5190248246934499,0.7609702093397746,14,0.9492753623188406,keep
G025_R387_C1142,105.625,-6.875,276,256,1.0102006418679788,0.791219726561248,0.6013486312399356,20,0.927536231884058,keep
G025_R387_C1143,105.875,-6.875,276,259,0.9494846154847167,0.7210155030078461,0.6849838969404186,17,0.9384057971014492,keep
G025_R388_C1132,103.125,-7.125,276,268,0.21279000691957764,0.1125852611076619,0.8971417069243156,8,0.9710144927536232,keep
G025_R388_C1133,103.375,-7.125,276,267,0.2317174041028611,0.1206811129101044,0.9103260869565217,9,0.967391304347826,keep
G025_R388_C1134,103.625,-7.125,276,270,0.26616458593906145,0.12700505576236093,0.9133454106280193,6,0.9782608695652174,keep
G025_R388_C1135,103.875,-7.125,276,270,0.28757964023027793,0.13181824396980385,0.9094202898550725,6,0.9782608695652174,keep
G025_R388_C1136,104.125,-7.125,276,270,0.3010410451000976,0.1497017154588142,0.9050925925925926,6,0.9782608695652174,keep
G025_R388_C1137,104.375,-7.125,276,270,0.3374528126771996,0.1538204160099052,0.9008655394524959,6,0.9782608695652174,keep
G025_R388_C1138,104.625,-7.125,276,262,0.3486918913803701,0.1802717546638234,0.8976449275362319,14,0.9492753623188406,keep
G025_R388_C1139,104.875,-7.125,276,270,0.3504639858661885,0.20678436591330895,0.8998590982286635,6,0.9782608695652174,keep
G025_R388_C1140,105.125,-7.125,276,268,0.3323741914244556,0.219898814022497,0.9043880837359098,8,0.9710144927536232,keep
G025_R388_C1141,105.375,-7.125,276,269,0.34936654588315846,0.2415192272076553,0.9153582930756844,7,0.9746376811594203,keep
G025_R388_C1142,105.625,-7.125,276,271,0.37355049453588013,0.2477320648642221,0.9280394524959743,5,0.9818840579710145,keep
G025_R388_C1143,105.875,-7.125,276,272,0.4036571705649524,0.2444398065255361,0.9320652173913043,4,0.9855072463768116,keep
G025_R388_C1144,106.125,-7.125,276,266,0.5621917759228775,0.31556159377202453,0.917975040257649,10,0.9637681159420289,keep
G025_R388_C1145,106.375,-7.125,276,260,1.514051194971594,0.83597210228034,0.7919685990338164,16,0.9420289855072463,keep
G025_R389_C1132,103.125,-7.375,276,268,0.20547313403398346,0.11396653665349045,0.9053945249597424,8,0.9710144927536232,keep
G025_R389_C1133,103.375,-7.375,276,273,0.2111291600628489,0.1173350253668677,0.9223027375201288,3,0.9891304347826086,keep
G025_R389_C1134,103.625,-7.375,276,271,0.2122097763550184,0.1228940038298754,0.9281400966183575,5,0.9818840579710145,keep
G025_R389_C1135,103.875,-7.375,276,269,0.22078986100649348,0.1269035735480211,0.9141505636070854,7,0.9746376811594203,keep
G025_R389_C1136,104.125,-7.375,276,272,0.24465140938945834,0.13486063947710195,0.9069041867954911,4,0.9855072463768116,keep
G025_R389_C1137,104.375,-7.375,276,271,0.25710376673301594,0.1491296487917434,0.9112318840579711,5,0.9818840579710145,keep
G025_R389_C1138,104.625,-7.375,276,270,0.2628500185265902,0.15446546321849156,0.9101247987117553,6,0.9782608695652174,keep
G025_R389_C1139,104.875,-7.375,276,268,0.27057499009374675,0.1696798873021976,0.9075080515297906,8,0.9710144927536232,keep
G025_R389_C1140,105.125,-7.375,276,267,0.2741760262087298,0.1798328592516931,0.9144524959742351,9,0.967391304347826,keep
G025_R389_C1141,105.375,-7.375,276,270,0.28623590759819617,0.18540110350817451,0.9150563607085346,6,0.9782608695652174,keep
G025_R389_C1142,105.625,-7.375,276,271,0.31462621182781897,0.1931178995732471,0.9314613526570048,5,0.9818840579710145,keep
G025_R389_C1143,105.875,-7.375,276,272,0.3949944985255304,0.2007286853324736,0.9505837359098228,4,0.9855072463768116,keep
G025_R389_C1144,106.125,-7.375,276,271,0.5232049796340605,0.247792636857641,0.9396135265700483,5,0.9818840579710145,keep
G025_R389_C1145,106.375,-7.375,276,267,1.057448914513721,0.6209783627607827,0.7361111111111112,9,0.967391304347826,keep
G025_R390_C1132,103.125,-7.625,276,266,0.17006224668750822,0.11145177596282685,0.8901972624798712,10,0.9637681159420289,keep
G025_R390_C1133,103.375,-7.625,276,269,0.17646235796670623,0.1193690171812012,0.9016706924315621,7,0.9746376811594203,keep
G025_R390_C1134,103.625,-7.625,276,268,0.19191883633927515,0.1205748107319735,0.9150563607085346,8,0.9710144927536232,keep
G025_R390_C1135,103.875,-7.625,276,273,0.19172357148291222,0.119693946171419,0.9194847020933977,3,0.9891304347826086,keep
G025_R390_C1136,104.125,-7.625,276,273,0.1969135465557655,0.1269795054688204,0.9309581320450886,3,0.9891304347826086,keep
G025_R390_C1137,104.375,-7.625,276,270,0.2020791674802238,0.13255478884499827,0.9124396135265701,6,0.9782608695652174,keep
G025_R390_C1138,104.625,-7.625,276,273,0.2125287575183511,0.1361696915414845,0.9081119162640902,3,0.9891304347826086,keep
G025_R390_C1139,104.875,-7.625,276,270,0.2151327993602467,0.1485497065996016,0.9111312399355878,6,0.9782608695652174,keep
G025_R390_C1140,105.125,-7.625,276,270,0.22656335974270694,0.15591333438012045,0.9167673107890499,6,0.9782608695652174,keep
G025_R390_C1141,105.375,-7.625,276,272,0.23943511815087096,0.16020769563838966,0.9247181964573269,4,0.9855072463768116,keep
G025_R390_C1142,105.625,-7.625,276,270,0.26026455974806,0.16220189015417558,0.9305555555555555,6,0.9782608695652174,keep
G025_R390_C1143,105.875,-7.625,276,271,0.3042188845066365,0.1650592709020505,0.9393115942028986,5,0.9818840579710145,keep
G025_R390_C1144,106.125,-7.625,276,269,0.36127155730255955,0.1781141753031975,0.9444444444444445,7,0.9746376811594203,keep
G025_R390_C1145,106.375,-7.625,276,270,0.4274927720968942,0.2210653537018297,0.9430354267310789,6,0.9782608695652174,keep
G025_R390_C1146,106.625,-7.625,276,268,0.5313853111697017,0.27554571571496345,0.9448470209339774,8,0.9710144927536232,keep
G025_R390_C1147,106.875,-7.625,276,268,0.6253127257089867,0.30390036477889265,0.9324677938808372,8,0.9710144927536232,keep
G025_R391_C1132,103.125,-7.875,276,272,0.1529323322363581,0.1109250479492446,0.903683574879227,4,0.9855072463768116,keep
G025_R391_C1133,103.375,-7.875,276,268,0.1581713874417658,0.1111208725120066,0.9086151368760064,8,0.9710144927536232,keep
G025_R391_C1134,103.625,-7.875,276,272,0.171550615379661,0.11416688833917804,0.9261272141706924,4,0.9855072463768116,keep
G025_R391_C1135,103.875,-7.875,276,273,0.16579741640563386,0.1186440756347794,0.9409219001610306,3,0.9891304347826086,keep
G025_R391_C1136,104.125,-7.875,276,274,0.16501722191102985,0.1223382664477975,0.9375,2,0.9927536231884058,keep
G025_R391_C1137,104.375,-7.875,276,273,0.17062796017930026,0.1271360435537457,0.9238123993558777,3,0.9891304347826086,keep
G025_R391_C1138,104.625,-7.875,276,274,0.17523342491532262,0.13215091784064076,0.9168679549114331,2,0.9927536231884058,keep
G025_R391_C1139,104.875,-7.875,276,273,0.180202213036159,0.1320386692019015,0.9228059581320451,3,0.9891304347826086,keep
G025_R391_C1140,105.125,-7.875,276,271,0.18891451222412253,0.1385106719597684,0.9355877616747182,5,0.9818840579710145,keep
G025_R391_C1141,105.375,-7.875,276,274,0.202351141894489,0.13992036634267552,0.9442431561996778,2,0.9927536231884058,keep
G025_R391_C1142,105.625,-7.875,276,274,0.21347326273364142,0.13839847150490914,0.9347826086956522,2,0.9927536231884058,keep
G025_R391_C1143,105.875,-7.875,276,273,0.23180906268360976,0.1393919279794026,0.9440418679549114,3,0.9891304347826086,keep
G025_R391_C1144,106.125,-7.875,276,272,0.2537831358650817,0.14849739565540293,0.9555152979066023,4,0.9855072463768116,keep
G025_R391_C1145,106.375,-7.875,276,271,0.27053196747240205,0.1576890959599236,0.9500805152979066,5,0.9818840579710145,keep
G025_R391_C1146,106.625,-7.875,276,273,0.2959218837356308,0.1672870382304097,0.9564210950080515,3,0.9891304347826086,keep
G025_R391_C1147,106.875,-7.875,276,273,0.3351313509511148,0.1773917549829141,0.9661835748792271,3,0.9891304347826086,keep
